타임스탬프,1. 현재 몇 학년인가요? ,2. 성별은 무엇인가요? ,3. 한 달 평균 용돈은 얼마인가요? ,4. 하루 평균 SNS 사용 시간은 얼마나 되나요? ,5. 최근 한 달 동안 온라인 쇼핑을 몇 번 정도 이용하였나요?  ,6. 물건을 구매할 때 가장 중요하게 생각하는 요소는 무엇인가요?  ,7.  충동적으로 물건을 구매한 경험이 얼마나 있나요?  ,8.  SNS 광고를 보고 실제로 상품을 구매한 경험이 있나요?  ,9. 유명 브랜드 제품을 더 신뢰하는 편인가요?  ,10. 친구의 추천은 구매 결정에 영향을 주나요?  ,11.  할인 행사가 진행 중인 상품은 더 매력적으로 느껴지나요?  ,12. 할인율이 높을수록 구매 의사가 증가하나요? ,"13. 다음 상품을 구매할 의향이 어느 정도 있나요? 
무선 이어폰 (30,000원)","14. 다음 상품을 구매할 의향이 어느 정도 있나요? 
무선 이어폰
정가 50,000원 → 할인 후 30,000원","15. ""재고 3개 남음""이라는 문구를 보면 구매 욕구가 증가하나요?","16. ""오늘 마감""이라는 문구를 보면 구매 욕구가 증가하나요? ","17. ""한정판"" 또는 ""한정 수량""이라는 문구를 보면 관심이 증가하나요? ",18. 물건을 구매하기 전에 여러 쇼핑몰의 가격을 비교하는 편인가요? ,19. 할인 정보를 자주 찾아보는 편인가요? ,20. 유명 브랜드 제품을 선호하는 편인가요? ,21. 브랜드 이미지를 중요하게 생각하나요? ,22. SNS에서 유행하는 제품에 관심이 많은 편인가요? ,23. 친구들이 사용하는 제품을 따라 구매한 경험이 있나요? ,24. 물건을 구매하기 전에 꼭 필요한 물건인지 생각하나요? ,25. 예산을 정해 놓고 소비하는 편인가요? ,27. 최근 가장 사고 싶은 물건은 무엇인가요?,28. 그 물건을 사고 싶은 가장 큰 이유는 무엇인가요?  ,26. 본인은 어떤 소비 유형에 가장 가깝다고 생각하나요? 
2026. 7. 20 오후 1:59:55,1학년,여자,15~20만원,4시간 이상,3~5회,가격,매우 자주 있다,없다,그렇다,그렇지 않다,매우 그렇다,매우 그렇다,매우 낮음,매우 높음,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,전혀 그렇지 않다,그렇다,그렇다,카메라,현재 꼭 필요한 물건이기 때문에,가격중심 소비자
2026. 7. 20 오후 2:04:41,1학년,여자,5만원 미만,1~2시간,1~2회,디자인,가끔 있다,없다,그렇다,그렇다,보통이다,그렇지 않다,낮음,낮음,전혀 그렇지 않다,전혀 그렇지 않다,그렇지 않다,보통이다,그렇다,그렇다,그렇다,그렇다,그렇다,매우 그렇다,그렇다,,,잘 모르겠다
2026. 7. 20 오후 2:06:01,1학년,여자,5~10만원,3~4시간,1~2회,가격,전혀 없다,없다,그렇다,그렇다,그렇다,보통이다,낮음,낮음,전혀 그렇지 않다,그렇지 않다,그렇지 않다,보통이다,전혀 그렇지 않다,전혀 그렇지 않다,그렇다,전혀 그렇지 않다,그렇지 않다,매우 그렇다,전혀 그렇지 않다,옷,현재 꼭 필요한 물건이기 때문에,가격중심 소비자
2026. 7. 20 오후 2:08:39,2학년,여자,5~10만원,1~2시간,0회,가격,가끔 있다,없다,그렇다,그렇다,그렇다,그렇다,낮음,낮음,그렇다,보통이다,그렇다,그렇다,그렇다,보통이다,그렇다,그렇지 않다,전혀 그렇지 않다,매우 그렇다,보통이다,초록색 색연필,현재 꼭 필요한 물건이기 때문에,가격중심 소비자
2026. 7. 20 오후 2:25:02,3학년,여자,20만원 이상,4시간 이상,11회 이상,디자인,자주 있다,1~2회,그렇다,보통이다,그렇다,그렇다,낮음,보통,그렇다,그렇다,그렇다,매우 그렇다,그렇다,그렇다,보통이다,보통이다,보통이다,보통이다,그렇지 않다,,,가격중심 소비자
2026. 7. 20 오후 2:32:24,2학년,여자,15~20만원,4시간 이상,3~5회,가격,자주 있다,1~2회,그렇다,매우 그렇다,매우 그렇다,그렇다,보통,보통,보통이다,보통이다,보통이다,그렇다,그렇다,보통이다,보통이다,그렇다,그렇다,그렇다,그렇지 않다,의류,현재 꼭 필요한 물건이기 때문에,가격중심 소비자
2026. 7. 20 오후 3:05:28,1학년,여자,10~15만원,1시간 미만,0회,품질,가끔 있다,1~2회,그렇다,그렇다,그렇지 않다,그렇지 않다,높음,낮음,그렇다,그렇지 않다,그렇지 않다,그렇다,그렇지 않다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇지 않다,카드지갑,현재 꼭 필요한 물건이기 때문에,유행추종형 소비자
2026. 7. 20 오후 3:23:19,1학년,여자,10~15만원,2~3시간,6~10회,디자인,자주 있다,1~2회,그렇다,그렇다,매우 그렇다,매우 그렇다,보통,매우 높음,보통이다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇지 않다,그렇다,,,브랜드중심 소비자
2026. 7. 20 오후 3:26:45,1학년,여자,5~10만원,2~3시간,3~5회,후기 및 평점,거의 없다,없다,그렇다,그렇다,그렇다,그렇다,보통,높음,그렇지 않다,그렇지 않다,보통이다,매우 그렇다,그렇지 않다,그렇다,보통이다,그렇다,그렇다,매우 그렇다,그렇지 않다,아이섀도우,현재 꼭 필요한 물건이기 때문에,잘 모르겠다
2026. 7. 20 오후 3:26:59,1학년,여자,15~20만원,1~2시간,0회,가격,거의 없다,없다,그렇다,그렇지 않다,그렇다,그렇다,낮음,높음,전혀 그렇지 않다,전혀 그렇지 않다,보통이다,그렇다,그렇다,그렇다,그렇다,그렇지 않다,그렇지 않다,그렇다,그렇다,옷,가격이 저렴하거나 할인 혜택이 있어서,가격중심 소비자
